name,market,sectors,price_hoping,price_real,inv_comp,stock_amount,stock_fund,exec_company,listing_date,percent_newstock,percent_invest,percent_personal,percent_lock_up,capital,company_size,profit
모아데이타,코스닥,소프트웨어 개발 및 공급업,"24,000 ~ 28,000 원","20,000",114.19:1,"800,000 주","16,000 (백만원)",하나금융투자,2022.03.10,"신주모집 : 800,000 주 (100%)",(70~75%),(25~30%),0.87%,"2,680 (백만원)",중소일반,-10%
SK증권스팩7호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"3,000,000 주","6,000 (백만원)",SK증권,2022.03.07,"신주모집 : 3,000,000 주 (100%)",(70~75%),(25~30%),0.00%,362 (백만원),중소일반,6.75%
노을,코스닥,자연과학 및 공학 연구개발업,"13,000 ~ 17,000 원","10,000",31.50:1,"1,500,000 주","15,000 (백만원)","한국투자증권, 삼성증권",2022.03.03,"신주모집 : 1,500,000 주 (100%)",(64~75%),(25~30%),0.00%,"5,726 (백만원)",중소일반,-3.3%
비씨엔씨,코스닥,반도체 제조업,"9,000 ~ 11,500 원","13,000",1831.23:1,"2,500,000 주","32,500 (백만원)",NH투자증권,2022.03.03,"신주모집 : 2,500,000 주 (100%)",(65.6~75%),(25~30%),22.84%,"6,183 (백만원)",중소일반,100%
풍원정밀,코스닥,전자부품 제조업,"13,200 ~ 15,200 원","15,200",1556.53:1,"3,000,000 주","45,600 (백만원)",대신증권,2022.02.28,"신주모집 : 3,000,000 주 (100%)",(70~75%),(25~30%),11.00%,"10,520 (백만원)",중소일반,32.89%
스톤브릿지벤처스,코스닥,기타 금융업,"9,000 ~ 10,500 원","8,000",20.06:1,"4,500,000 주","36,000 (백만원)","KB증권,삼성증권",2022.02.25,"구주매출 : 1,800,000 주 (40%)",(70~75%),(25~30%),0.00%,"8,939 (백만원)",중소일반,-10%
하나금융스팩21호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"6,000,000 주","12,000 (백만원)",하나금융투자,2022.02.25,"신주모집 : 6,000,000 주 (100%)",(70~75%),(25~30%),0.00%,741 (백만원),중소일반,4%
브이씨,코스닥,운동 및 경기용구 제조업,"15,000 ~ 19,500 원","15,000",190.59:1,"1,000,000 주","15,000 (백만원)",한국투자증권,2022.02.24,"신주모집 : 1,000,000 주 (100%)",(70~75%),(25~30%),19.93%,"3,493 (백만원)",중소일반,16%
퓨런티어,코스닥,특수 목적용 기계 제조업,"11,400 ~ 13,700 원","15,000",1535.42:1,"1,600,000 주","24,000 (백만원)","유안타증권,신한금융투자",2022.02.23,"신주모집 : 1,600,000 주 (100%)",(70~75%),(25~30%),11.08%,"3,982 (백만원)",중소일반,100%
바이오에프디엔씨,코스닥,기초 의약물질 및 생물학적 제제 제조업,"23,000 ~ 29,000 원","28,000",74.01:1,"1,300,000 주","36,400 (백만원)",DB금융투자,2022.02.21,"신주모집 : 1,300,000 주 (100%)",(63.85~75%),(25~30%),11.80%,"4,347 (백만원)",중소일반,-10%
한국스팩10호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,500,000 주","9,000 (백만원)",한국투자증권,2022.02.21,"신주모집 : 4,500,000 주 (100%)",(70~75%),(25~30%),0.00%,541 (백만원),중소일반,6.5%
IBKS스팩17호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"2,500,000 주","5,000 (백만원)",IBK투자증권,2022.02.18,"신주모집 : 2,500,000 주 (100%)",(70~75%),(25~30%),0.00%,272 (백만원),중소일반,33%
인카금융서비스,코스닥,보험 및 연금관련 서비스업,"23,000 ~ 27,000 원","18,000",13.69:1,"879,800 주","15,836 (백만원)",한국투자증권,2022.02.16,"구주매출 : 279,800 주 (31.8%)",(60.6~65.6%),(25~30%),4.19%,"2,568 (백만원)",중소일반,-4.17%
나래나노텍,코스닥,특수 목적용 기계 제조업,"17,500 ~ 20,500 원","17,500",102:1,"3,100,000 주","54,250 (백만원)",미래에셋증권,2022.02.08,"구주매출 : 711,800 주 (22.96%)",(66.77~71.77%),(25~30%),0.97%,"5,529 (백만원)",중소일반,-10%
아셈스,코스닥,플라스틱제품 제조업,"7,000 ~ 8,000 원","8,000",1618.26:1,"2,000,000 주","16,000 (백만원)",한국투자증권,2022.02.07,"신주모집 : 2,000,000 주 (100%)",(66~71%),(25~30%),7.71%,"4,479 (백만원)",중소일반,100%
스코넥,코스닥,소프트웨어 개발 및 공급업,"9,000 ~ 12,000 원","13,000",1724.66:1,"2,226,300 주","28,942 (백만원)",신영증권,2022.02.04,"신주모집 : 2,226,300 주 (100%)",(66.5~75%),(25~30%),59.95%,"6,036 (백만원)",중소일반,100%
이지트로닉스,코스닥,"전동기, 발전기 및 전기 변환 공급 제어 장치","19,000 ~ 22,000 원","22,000",1343.51:1,"1,980,000 주","43,560 (백만원)",NH투자증권,2022.02.04,"신주모집 : 1,980,000 주 (100%)",(66.22~75%),(25~30%),2.94%,"3,982 (백만원)",중소일반,6.59%
LG에너지솔루션,거래소,일차전지 및 축전지 제조업,"257,000 ~ 300,000 원","300,000",2023.37:1,"42,500,000 주","12,750,000 (백만원)","KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자",2022.01.27,"구주매출 : 8,500,000 주 (20%)",(55~75%),(25~30%),77.38%,"117,000 (백만원)",중소일반,99%
애드바이오텍,코스닥,의약품 제조업,"7,000 ~ 8,000 원","7,000",102.15:1,"1,360,000 주","9,520 (백만원)",대신증권,2022.01.24,"신주모집 : 1,360,000 주 (100%)",(70~75%),(25~30%),0.00%,"4,546 (백만원)",중소일반,-3.86%
케이옥션,코스닥,상품 중개업,"17,000 ~ 20,000 원","20,000",1638.36:1,"1,600,000 주","32,000 (백만원)",신영증권,2022.01.24,"구주매출 : 320,000 주 (20%)",(55~75%),(25~30%),36.80%,"4,454 (백만원)",중소일반,100%
오토앤,코스닥,자동차 신품 부품 및 내장품 판매업,"4,200 ~ 4,800 원","5,300",1713:1,"2,877,579 주","15,251 (백만원)","미래에셋증권,현대차증권",2022.01.20,"신주모집 : 2,877,579 주 (100%)",(70~75%),(25~30%),8.34%,"6,437 (백만원)",중소일반,66.04%
디비금융스팩10호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"5,000,000 주","10,000 (백만원)",DB금융투자,2022.01.20,"신주모집 : 5,000,000 주 (100%)",(70~75%),(25~30%),0.00%,584 (백만원),중소일반,3.75%
래몽래인,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업","11,500 ~ 13,000 원","15,000",1545.68:1,"1,200,000 주","18,000 (백만원)",IBK투자증권,2021.12.30,"신주모집 : 1,200,000 주 (100%)",(70~75%),(25ㅍ%),17.75%,"3,124 (백만원)",중소일반,73.33%
하나금융스팩20호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,000,000 주","6,000 (백만원)",하나금융투자,2021.12.27,"신주모집 : 3,000,000 주 (100%)",(75%),(25%),0.00%,305 (백만원),중소일반,6.5%
NH스팩22호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"6,000,000 주","12,000 (백만원)",NH투자증권,2021.12.24,"신주모집 : 6,000,000 주 (100%)",(75%),(25%),0.00%,644 (백만원),중소일반,4.5%
하이스팩7호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"5,000,000 주","10,000 (백만원)",하이투자증권,2021.12.20,"신주모집 : 5,000,000 주 (100%)",(75%),(25%),0.00%,512 (백만원),중소일반,3%
교보스팩11호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"4,200,000 주","8,400 (백만원)",교보증권,2021.12.20,"신주모집 : 4,200,000 주 (100%)",(70~75%),(25~30%),0.00%,444 (백만원),중소일반,3.25%
케이티비네트워크,코스닥,기타 금융업,"5,800 ~ 7,200 원","5,800",50.19:1,"20,000,000 주","116,000 (백만원)","한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권",2021.12.16,"신주모집 : 20,000,000 주 (100%)",(70~75%),(25~30%),6.94%,"50,000 (백만원)",중소일반,3.97%
신한서부티엔디리츠,거래소,비주거용 건물 임대업,"5,000 ~ 5,000 원","5,000",564.84:1,"26,977,842 주","134,889 (백만원)","한국투자증권,신한금융투자,하나금융투자",2021.12.10,"신주모집 : 26,977,842 주 (100%)",(70.35%),(29.65%),15.28%,"55,955 (백만원)",중소일반,-3.9%
툴젠,코스닥,자연과학 및 공학 연구개발업,"100,000 ~ 120,000 원","70,000",29.54:1,"1,000,000 주","70,000 (백만원)",한국투자증권,2021.12.10,"신주모집 : 1,000,000 주 (100%)",(66~71%),(25~30%),0.10%,"3,926 (백만원)",중소일반,17.57%
미래에셋글로벌리츠,거래소,부동산 임대업,"5,000 ~ 5,000 원","5,000",1019.58:1,"15,020,000 주","75,100 (백만원)","미래에셋증권,KB증권,NH투자증권",2021.12.03,"신주모집 : 15,020,000 주 (100%)",(60%),(40%),17.34%,"29,360 (백만원)",중소일반,6.2%
대신밸런스스팩11호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"6,500,000 주","13,000 (백만원)",대신증권,2021.12.02,"신주모집 : 6,500,000 주 (100%)",(70~75%),(25~30%),0.00%,761 (백만원),중소일반,3%
마인즈랩,코스닥,소프트웨어 개발 및 공급업,"26,000 ~ 30,000 원","30,000",197.55:1,"604,459 주","18,134 (백만원)","NH투자증권,하나금융투자",2021.11.23,"신주모집 : 604,459 주 (100%)",(60~75%),(25~30%),19.74%,"3,022 (백만원)",중소일반,-1.17%
알비더블유,코스닥,오디오물 출판 및 원판 녹음업,"18,700 ~ 21,400 원","21,400",1719.61 :1,"1,253,000 주","26,814 (백만원)",미래에셋증권,2021.11.22,"구주매출 : 470,000 주 (37.51%)",(70~75%),(25~30%),15.98%,"3,965 (백만원)",중소일반,100%
바이옵트로,코스닥,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광","7,500 ~ 8,500 원","7,500",205.12:1,"1,000,000 주","7,500 (백만원)",한국투자증권,2021.11.18,"신주모집 : 1,000,000 주 (100%)",(70~75%),(25~30%),0.98%,"4,071 (백만원)",중소일반,-2.67%
NH올원리츠,거래소,부동산 개발 및 공급업,"5,000 ~ 5,000 원","5,000",628.2:1,"28,100,000 주","140,500 (백만원)","한국투자증권,NH투자증권,대신증권",2021.11.18,"신주모집 : 28,100,000 주 (100%)",(66.5%),(33.5%),17.07%,"21,100 (백만원)",중소일반,9.8%
트윔,코스닥,소프트웨어 개발 및 공급업,"17,800 ~ 20,400 원","22,000",1627.34:1:,"1,220,000 주","26,840 (백만원)",대신증권,2021.11.17,"신주모집 : 1,220,000 주 (100%)",(70~75%),(25~30%),9.20%,"3,627 (백만원)",중소일반,100%
지오엘리먼트,코스닥,전자부품 제조업,"7,600 ~ 8,700 원","10,000",1613.84 :1,"1,547,000 주","15,470 (백만원)",NH투자증권,2021.11.11,"신주모집 : 1,547,000 주 (100%)",(60.95~75%),(25~30%),15.23%,"3,096 (백만원)",중소일반,100%
아이티아이즈,코스닥,소프트웨어 개발 및 공급업,"12,500 ~ 14,300 원","14,300",1601.14:1,"1,777,000 주","25,411 (백만원)",신한금융투자,2021.11.11,"구주매출 : 120,000 주 (6.75%)",(55~75%),(25~30%),9.11%,"2,988 (백만원)",중소일반,100%
비트나인,코스닥,응용소프트웨어 개발 및소프트웨어 개발 및 공급업 공,"8,700 ~ 9,700 원","11,000",1662.29:1,"2,071,000 주","22,781 (백만원)",하나금융투자,2021.11.10,"신주모집 : 2,071,000 주 (100%)",(67.07~75%),(25~30%),5.96%,"4,110 (백만원)",중소일반,38.64%
디어유,코스닥,소프트웨어 개발 및 공급업,"18,000 ~ 24,000 원","26,000",2001.11:1,"3,300,000 주","85,800 (백만원)",한국투자증권,2021.11.10,"신주모집 : 3,300,000 주 (100%)",(55~75%),(25~30%),37.46%,"10,875 (백만원)",중소일반,100%
지니너스,코스닥,자연과학 및 공학 연구개발업,"24,700 ~ 32,200 원","20,000",66.03:1,"2,000,000 주","40,000 (백만원)","대신증권,NH투자증권",2021.11.08,"신주모집 : 2,000,000 주 (100%)",(69.48~74.57%),(25~30%),0.10%,"5,434 (백만원)",중소일반,-10%
카카오페이,거래소,기타 금융업,"60,000 ~ 90,000 원","90,000",1714.47:1,"17,000,000 주","1,530,000 (백만원)","삼성증권,대신증권,한국투자증권,신한금융투자",2021.11.03,"신주모집 : 17,000,000 주 (100%)",(55~75%),(25~30%),70.44%,"65,183 (백만원)",중소일반,100%
피코그램,코스닥,기타 제품 제조업,"11,000 ~ 12,500 원","12,500",1472.19:1,"1,000,000 주","12,500 (백만원)",IBK투자증권,2021.11.03,"신주모집 : 1,000,000 주 (100%)",(60~65%),(25~30%),12.96%,306 (백만원),중소일반,100%
엔켐,코스닥,기초 화학물질 제조업,"30,000 ~ 35,000 원","42,000",1647.40 :1,"2,262,625 주","95,030 (백만원)","대신증권,신한금융투자",2021.11.01,"신주모집 : 2,262,625 주 (100%)",(55%),(27.16%),64.45%,"7,553 (백만원)",중소일반,94.29%
리파인,코스닥,"부동산 중개, 자문 및 감정평가업","21,000 ~ 24,000 원","21,000",64.19:1,"4,330,000 주","90,930 (백만원)",KB증권,2021.10.29,"신주모집 : 4,330,000 주 (100%)",(65~75%),(25~30%),3.22%,"1,300 (백만원)",중소일반,-10%
지앤비에스엔지니어링,코스닥,특수 목적용 기계 제조업,"14,300 ~ 17,400 원","17,400",1134.34:1,"1,425,000 주","24,795 (백만원)",삼성증권,2021.10.29,"신주모집 : 1,425,000 주 (100%)",(70~75%),(25~30%),4.37%,"3,582 (백만원)",중소일반,37.93%
아이패밀리에스씨,코스닥,기타 화학제품 제조업,"39,000 ~ 48,000 원","25,000",63.10:1,"978,000 주","24,450 (백만원)",삼성증권,2021.10.28,"구주매출 : 158,800 주 (16.24%)",(66.42~71.42%),(25~30%),0.00%,"2,060 (백만원)",중소일반,14.6%
차백신연구소,코스닥,의약품 제조업,"11,000 ~ 15,000 원","11,000",206.23:1,"3,950,000 주","43,450 (백만원)",삼성증권,2021.10.22,"신주모집 : 3,950,000 주 (100%)",(63~68%),(25~30%),1.93%,"11,194 (백만원)",중소일반,6.36%
지아이텍,코스닥,특수 목적용 기계 제조업,"11,500 ~ 13,100 원","14,000",2068.17 :1,"2,700,000 주","37,800 (백만원)",미래에셋증권,2021.10.21,"구주매출 : 700,000 주 (25.93%)",(60~75%),(25~30%),25.28%,"3,935 (백만원)",중소일반,100%
NH스팩21호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"6,250,000 주","12,500 (백만원)",NH투자증권,2021.10.15,"신주모집 : 6,250,000 주 (100%)",(75%),(25%),0.00%,746 (백만원),중소일반,3.75%
케이카,거래소,자동차 판매업,"34,300 ~ 43,200 원","25,000",40:1,"16,830,288 주","420,757 (백만원)","NH투자증권,대신증권,삼성증권,하나금융투자",2021.10.13,"구주매출 : 15,628,124 주 (92.86%)",(55~75%),(25~30%),0.00%,"24,043 (백만원)",중소일반,-10%
씨유테크,코스닥,전자부품 제조업,"5,100 ~ 5,600 원","6,000",1565.03:1,"5,250,000 주","31,500 (백만원)",대신증권,2021.10.08,"구주매출 : 1,750,000 주 (33.33%)",(70~75%),(25~30%),22.76%,"8,828 (백만원)",중소일반,100%
원준,코스닥,특수 목적용 기계 제조업,"52,000 ~ 60,000 원","65,000",1464.10:1,"1,004,807 주","65,312 (백만원)",NH투자증권,2021.10.07,"신주모집 : 1,004,807 주 (100%)",(67.0167.01%),(25~30%),44.30%,502 (백만원),중소일반,56.92%
하나금융스팩19호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"5,500,000 주","11,000 (백만원)",하나금융투자,2021.10.07,"신주모집 : 5,500,000 주 (100%)",(70~75%),(25~30%),0.00%,631 (백만원),중소일반,2.25%
아스플로,코스닥,일반 목적용 기계 제조업,"19,000 ~ 22,000 원","25,000",2142.7:1,"630,000 주","15,750 (백만원)",미래에셋증권,2021.10.07,"신주모집 : 630,000 주 (100%)",(55~75%),(25~30%),12.10%,"2,222 (백만원)",중소일반,44%
NH스팩20호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"20,000,000 주","40,000 (백만원)",NH투자증권,2021.10.05,"신주모집 : 20,000,000 주 (100%)",(75%),(25%),0.00%,550 (백만원),중소일반,1.5%
에스앤디,코스닥,기타 식품 제조업,"30,000 ~ 32,000 원","28,000",173.11:1,"1,023,000 주","28,644 (백만원)",유진투자증권,2021.09.29,"신주모집 : 1,023,000 주 (100%)",(66.7~71.7%),(25~30%),0.01%,"2,029 (백만원)",중소일반,-10%
실리콘투,코스닥,상품 종합 도매업,"23,800 ~ 27,200 원","27,200",1437.63:1,"1,654,000 주","44,989 (백만원)","삼성증권,미래에셋증권",2021.09.29,"구주매출 : 94,000 주 (5.68%)",(67.2~72.2%),(25~30%),8.37%,"5,012 (백만원)",중소일반,41.54%
프롬바이오,코스닥,기타 식품 제조업,"21,500 ~ 24,500 원","18,000",85.71:1,"3,000,000 주","54,000 (백만원)",NH투자증권,2021.09.28,"구주매출 : 550,000 주 (18.33%)",(67.27~72.27%),(25~30%),1.45%,"1,383 (백만원)",중소일반,6.94%
신한스팩8호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"6,250,000 주","12,500 (백만원)",신한금융투자,2021.09.27,"신주모집 : 6,250,000 주 (100%)",(70~75%),(25~30%),0.00%,735 (백만원),중소일반,5%
바이오플러스,코스닥,기초 의약물질 및 생물학적 제제 제조업,"28,500 ~ 31,500 원","31,500",1220.2:1,"1,400,000 주","44,100 (백만원)",키움증권,2021.09.27,"신주모집 : 1,400,000 주 (100%)",(67~75%),(25~30%),7.80%,"6,955 (백만원)",중소일반,25.4%
대신밸런스스팩10호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"5,000,000 주","10,000 (백만원)",대신증권,2021.09.17,"신주모집 : 5,000,000 주 (100%)",(70~75%),(25~30%),0.00%,546 (백만원),중소일반,15.25%
현대중공업,거래소,선박 및 보트 건조업,"52,000 ~ 60,000 원","60,000",1835.87:1,"18,000,000 주","1,080,000 (백만원)","미래에셋,한국투자,하나금융,KB증권,삼성증권,대신증권,DB금융,신영증권",2021.09.17,"신주모집 : 18,000,000 주 (100%)",(55~75%),(25~30%),53.09%,"443,865 (백만원)",중소일반,85%
SK리츠,거래소,비주거용 건물 임대업,"5,000 ~ 5,000 원","5,000",NaN,"46,510,266 주","232,551 (백만원)","한국투자증권,삼성증권,SK증권,하나금융투자",2021.09.14,"신주모집 : 46,510,266 주 (100%)",(70%),(30%),0.00%,"77,510 (백만원)",중소일반,6.8%
유진스팩7호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",유진증권,2021.09.13,"신주모집 : 4,000,000 주 (100%)",(75~75%),(25~30%),0.00%,501 (백만원),중소일반,100%
와이엠텍,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치","21,000 ~ 25,000 원","28,000",1696.19:1,"600,000 주","16,800 (백만원)",KB증권,2021.09.10,"신주모집 : 600,000 주 (100%)",(65~75%),(25~30%),31.59%,"2,696 (백만원)",중소일반,100%
에이비온,코스닥,자연과학 및 공학 연구개발업,"14,500 ~ 17,000 원","17,000",139.36:1,"2,280,000 주","38,760 (백만원)","미래에셋증권,한화투자증권,유진투자증권",2021.09.08,"신주모집 : 2,280,000 주 (100%)",(70~75%),(25~30%),4.30%,"8,338 (백만원)",중소일반,-1.18%
IBKS스팩16호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,190,000 주","6,380 (백만원)",IBK투자증권,2021.09.03,"신주모집 : 3,190,000 주 (100%)",(74.92%),(25.08%),0.00%,341 (백만원),중소일반,100%
일진하이솔루스,거래소,기타 운송장비 제조업,"25,700 ~ 34,300 원","34,300",1471.01:1,"10,893,990 주","373,664 (백만원)","미래에셋증권,삼성증권,현대차증권,대신증권",2021.09.01,"구주매출 : 3,631,330 주 (33.33%)",(55~75%),(25~30%),61.52%,"18,156 (백만원)",중소일반,100%
디앤디플랫폼리츠,코스닥,부동산업,"5,000 ~ 5,000 원","5,000",NaN,"35,000,000 주","175,000 (백만원)","NH투자증권,신한금융투자,대신증권",2021.08.27,"신주모집 : 35,000,000 주 (100%)",(50%),(50%),0.00%,"64,400 (백만원)",중소일반,7.8%
바이젠셀,코스닥,의약품 제조업,"42,800 ~ 52,700 원","52,700",1271.21:1,"1,886,480 주","99,417 (백만원)","대신증권,KB증권",2021.08.25,"신주모집 : 1,886,480 주 (100%)",(68.67~73.67%),(25~30%),13.61%,"4,716 (백만원)",중소일반,39.47%
아주스틸,거래소,1차 철강 제조업,"12,700 ~ 15,100 원","15,100",1776.9:1,"6,937,500 주","104,756 (백만원)",미래에셋증권,2021.08.20,"구주매출 : 2,937,500 주 (42.34%)",(55~75%),(25~30%),16.33%,"13,226 (백만원)",중소일반,100%
브레인즈컴퍼니,코스닥,시스템 소프트웨어 개발 및 공급업,"20,000 ~ 22,500 원","25,000",1428.8:1,"600,000 주","15,000 (백만원)",키움증권,2021.08.19,"구주매출 : 200,000 주 (33.33%)",(70~75%),(25~30%),8.92%,"2,054 (백만원)",중소일반,100%
롯데렌탈,거래소,자동차 임대업,"47,000 ~ 59,000 원","59,000",217.63:1,"14,422,000 주","850,898 (백만원)","NH투자증권,한국투자증권,KB증권,미래에셋증권,삼성증권,신한금융,키움증권,하나금융",2021.08.19,"구주매출 : 7,210,937 주 (50%)",(55~75%),(25~30%),14.65%,"183,170 (백만원)",중소일반,-2.54%
딥노이드,코스닥,소프트웨어 개발 및 공급업,"31,500 ~ 42,000 원","42,000",1179.07:1,"300,000 주","12,600 (백만원)",KB증권,2021.08.17,"신주모집 : 300,000 주 (100%)",(70~75%),(25~30%),7.29%,"2,310 (백만원)",중소일반,71.43%
한컴라이프케어,거래소,기타 의료용 기기 제조업,"10,700 ~ 13,700 원","13,700",418.99:1,"8,302,321 주","113,742 (백만원)",미래에셋증권,2021.08.17,"구주매출 : 5,534,881 주 (66.67%)",(70~75%),(25~30%),3.27%,"5,534 (백만원)",중소일반,17.15%
엠로,코스닥,소프트웨어 개발 및 공급업,"20,100 ~ 22,600 원","22,600",685.60:1,"1,016,104 주","22,964 (백만원)",한국투자증권,2021.08.13,"신주모집 : 1,016,104 주 (100%)",(70~75%),(25~30%),6.97%,"2,713 (백만원)",중소일반,44.69%
플래티어,코스닥,소프트웨어 개발 및 공급업,"8,500 ~ 10,000 원","11,000",1631:1,"1,800,000 주","19,800 (백만원)","KB증권,하나금융투자",2021.08.12,"신주모집 : 1,800,000 주 (100%)",(65~75%),(25~30%),18.29%,"4,134 (백만원)",중소일반,100%
원티드랩,코스닥,소프트웨어 개발 및 공급업,"28,000 ~ 35,000 원","35,000",1503.91:1,"730,000 주","25,550 (백만원)",한국투자증권,2021.08.11,"구주매출 : 202,108 주 (27.69%)",(70~75%),(25~30%),10.98%,"2,351 (백만원)",중소일반,100%
크래프톤,거래소,소프트웨어 개발 및 공급업,"400,000 ~ 498,000 원","498,000",243.15:1,"8,654,230 주","4,309,807 (백만원)","미래에셋증권,NH투자증권,삼성증권",2021.08.10,"구주매출 : 3,030,230 주 (35.01%)",(55~75%),(25~30%),22.05%,"4,889 (백만원)",중소일반,-9.94%
에이치케이이노엔,코스닥,의약품 제조업,"50,000 ~ 59,000 원","59,000",1871.36:1,"10,117,000 주","596,903 (백만원)","한국투자증권,삼성증권",2021.08.09,"구주매출 : 4,336,000 주 (42.86%)",(55~75%),(25~30%),13.49%,"14,452 (백만원)",중소일반,15.42%
카카오뱅크,거래소,은행 및 저축기관,"33,000 ~ 39,000 원","39,000",1732.83:1,"65,450,000 주","2,552,550 (백만원)","KB증권,한국투자증권,하나금융투자,현대차증권",2021.08.06,"신주모집 : 65,450,000 주 (100%)",(55~75%),(25~30%),45.28%,"2,375,501 (백만원)",중소일반,37.69%
한화플러스스팩2호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"3,750,000 주","7,500 (백만원)",한화투자증권,2021.08.05,"신주모집 : 3,750,000 주 (100%)",(70~75%),(25~30%),0.00%,416 (백만원),중소일반,100%
에브리봇,코스닥,가정용 기기 제조업,"32,600 ~ 36,700 원","36,700",576.74:1,"1,120,000 주","41,104 (백만원)",NH투자증권,2021.07.28,"구주매출 : 280,000 주 (25%)",(65.14~75%),(25~30%),0.67%,"3,047 (백만원)",중소일반,-9.95%
